setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,sub,resp,respRT,conf,confRT
1,14,,3,,0.8,3,14,4,2,4,1.08977198600769,2,1.13173604011536
1,346,,2,,0.8,3,NaN,5,2,NaN,0,1,1.19563984870911
2,12,6,1,4,0.5,1,12,4,2,4,0.833647012710571,2,0.843901872634888
1,86,,3,,0.5,3,86,2,2,2,0.529958963394165,2,1.11582708358765
1,96,,3,,0.8,3,96,3,2,3,0.562152862548828,2,1.19605708122253
2,10,348,1,2,0.8,3,NaN,5,2,NaN,0,1,1.16089701652527
2,354,80,1,2,0.8,1,354,1,2,4,1.45824599266052,1,0.848436832427979
1,4,,2,,0.8,2,4,4,2,4,0.754447937011719,2,1.07109904289246
2,80,8,1,2,0.5,1,80,2,2,3,0.770681142807007,1,0.880753993988037
2,8,86,1,4,0.8,4,86,2,2,3,0.98533821105957,1,0.865160942077637
2,94,354,2,4,0.8,2,94,3,2,1,0.803063154220581,1,0.988953113555908
1,102,,3,,0.5,1,NaN,5,2,5,0,2,0.867116928100586
2,76,94,1,3,0.5,2,NaN,5,2,5,0,2,0.902612924575806
2,354,100,2,3,0.5,2,354,1,2,4,1.22429990768433,2,1.23850798606873
2,102,104,1,4,0.8,1,102,3,2,3,1.12870812416077,1,1.35071802139282
1,12,,3,,0.8,3,12,4,2,4,0.760689973831177,2,0.742898941040039
2,14,104,2,3,0.8,4,NaN,5,2,5,0,2,0.855181932449341
1,354,,4,,0.8,1,NaN,5,2,5,0,1,0.711182832717896
1,94,,2,,0.8,2,94,3,2,3,0.793170213699341,2,0.599570035934448
1,354,,2,,0.5,4,NaN,5,2,5,0,2,0.983330965042114
1,12,,4,,0.8,2,NaN,5,2,3,1.46568584442139,NaN,0
2,12,104,1,4,0.5,4,104,3,2,2,0.857434034347534,2,0.87168288230896
2,78,80,2,3,0.5,4,NaN,5,2,5,0,2,1.00007605552673
2,94,10,3,4,0.5,2,NaN,5,2,5,0,1,0.807842016220093
2,12,6,1,3,0.5,4,NaN,5,2,5,0,1,0.904014110565186
2,86,86,1,2,0.8,3,NaN,5,2,5,0,1,0.712215900421143
1,6,,1,,0.8,1,6,4,2,1,1.37426614761353,1,1.03223609924316
1,4,,2,,0.5,2,4,4,2,4,0.638595104217529,2,0.536434888839722
1,356,,4,,0.5,4,356,1,2,1,0.734552145004272,2,0.55263090133667
2,8,14,2,4,0.8,2,8,4,2,4,0.83073902130127,1,1.19275403022766
2,104,14,3,4,0.8,2,NaN,5,2,5,0,1,0.825180053710938
2,346,346,1,2,0.5,4,NaN,5,2,5,0,2,0.920990943908691
2,98,94,3,4,0.8,3,98,3,2,3,0.79944896697998,2,0.937278032302856
1,348,,4,,0.5,4,348,1,2,1,0.703600883483887,2,0.553611993789673
2,346,350,2,3,0.5,1,NaN,5,2,5,0,1,0.921520948410034
1,96,,1,,0.5,1,96,3,2,NaN,0,3,0.866055965423584
2,8,78,2,3,0.5,4,NaN,5,2,5,0,2,0.488471031188965
2,350,354,1,4,0.8,2,NaN,5,2,5,0,2,0.869584083557129
1,100,,1,,0.5,2,NaN,5,2,5,0,2,0.821762084960938
2,94,100,1,2,0.8,2,100,3,2,3,0.855792999267578,1,0.486096143722534
2,80,6,1,3,0.5,3,6,4,2,4,1.11198711395264,1,0.486274003982544
2,104,356,3,4,0.5,1,NaN,5,2,5,0,1,0.870311975479126
2,4,94,3,4,0.8,4,94,3,2,2,1.25661206245422,2,0.870260000228882
2,4,86,1,3,0.5,4,NaN,5,2,5,0,1,1.17467999458313
1,80,,2,,0.5,3,NaN,5,2,5,0,2,0.838987827301025
2,4,346,2,3,0.8,4,NaN,5,2,5,0,2,0.646717071533203
2,354,102,3,4,0.5,3,354,1,2,4,1.32082104682922,1,1.31898903846741
1,4,,4,,0.8,1,NaN,5,2,5,0,2,1.22305989265442
1,84,,1,,0.8,4,NaN,5,2,5,0,2,0.807245016098022
1,84,,1,,0.5,3,NaN,5,2,5,0,1,0.711389064788818
2,94,4,1,4,0.8,2,NaN,5,2,5,0,1,1.01544690132141
1,12,,4,,0.5,1,NaN,5,2,5,0,2,0.487546920776367
1,82,,4,,0.5,3,NaN,5,2,5,0,2,0.85579514503479
1,8,,2,,0.8,1,NaN,5,2,5,0,1,0.840113878250122
2,6,348,2,3,0.8,2,6,4,2,4,1.24183201789856,1,1.09595608711243
2,10,82,2,4,0.5,4,82,2,2,2,0.84208083152771,2,1.11229681968689
2,78,12,2,4,0.5,4,12,4,2,4,1.14612197875977,2,0.840308904647827
1,346,,3,,0.8,1,NaN,5,2,5,0,1,0.76312780380249
1,86,,2,,0.8,2,86,2,2,2,0.602567195892334,1,1.06720995903015
2,76,10,1,3,0.8,4,NaN,5,2,5,0,1,0.541850090026855
1,352,,4,,0.8,1,NaN,5,2,5,0,1,0.455870866775513
2,6,14,3,4,0.5,2,NaN,5,2,5,0,2,0.437242984771729
1,104,,4,,0.5,4,104,3,2,3,0.551424026489258,3,0.757647037506104
2,84,356,1,4,0.5,2,NaN,5,2,5,0,2,0.520171165466309
1,12,,2,,0.8,2,12,4,2,4,0.615551948547363,2,0.677708864212036
2,354,86,1,4,0.5,1,354,1,2,1,1.22377014160156,1,1.23814511299133
1,76,,1,,0.8,1,76,2,2,4,1.41612911224365,NaN,0
2,96,80,1,3,0.5,4,NaN,5,2,5,0,2,0.88602089881897
1,6,,1,,0.5,1,6,4,2,1,1.16021299362183,1,0.82515287399292
2,12,100,2,4,0.8,4,100,3,2,4,1.38420605659485,1,0.77474308013916
1,352,,1,,0.5,2,NaN,5,2,5,0,2,0.390914916992188
1,86,,3,,0.5,4,NaN,5,2,5,0,2,0.759108781814575
1,76,,2,,0.8,1,NaN,5,2,5,0,2,0.775012969970703
2,94,352,1,3,0.8,4,NaN,5,2,NaN,0,1,0.823416948318481
