setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,subject,resp,respRT,conf,confRT
1,342,,2,,0.8,4,NaN,5,1,5,1.26402688026428,3,1.14822101593018
2,94,356,2,3,0.8,3,356,1,1,1,1.37457418441772,3,0.678368091583252
2,342,96,1,2,0.8,1,342,1,1,1,1.54444098472595,3,0.596822023391724
2,350,20,2,3,0.5,2,350,1,1,1,1.094731092453,2,0.703054189682007
1,86,,3,,0.5,4,NaN,5,1,5,1.6971480846405,3,1.00505399703979
2,68,74,1,2,0.5,4,NaN,5,1,5,1.39127016067505,3,0.679228067398071
2,100,108,2,3,0.8,2,100,3,1,4,1.59760713577271,2,1.30147480964661
1,108,,1,,0.5,4,NaN,5,1,5,1.60749197006226,3,0.575753927230835
1,74,,4,,0.8,4,74,2,1,2,0.869668006896973,3,0.73365592956543
2,18,82,2,4,0.8,3,NaN,5,1,5,0,3,0.664050102233887
1,350,,4,,0.8,4,350,1,1,4,1.40609908103943,2,0.42215895652771
1,96,,4,,0.8,3,NaN,5,1,5,1.65653395652771,3,1.02453279495239
2,10,6,2,3,0.8,1,NaN,5,1,5,1.23842215538025,3,0.542453050613403
1,20,,4,,0.5,4,20,4,1,4,1.39281606674194,3,0.552856922149658
2,20,82,3,4,0.5,1,NaN,5,1,5,1.18279886245728,3,0.567322015762329
1,14,,4,,0.8,1,NaN,5,1,5,1.46509790420532,3,0.94509482383728
1,72,,2,,0.5,2,72,2,2,2,1.82420897483826,NaN,0
1,78,,1,,0.8,3,NaN,5,2,5,2.17603898048401,2,1.67628979682922
2,16,96,1,3,0.5,1,16,4,2,1,2.59032106399536,3,0.838548898696899
1,104,,2,,0.5,2,104,3,2,5,2.95231103897095,3,1.70053911209106
1,340,,1,,0.5,3,NaN,5,2,5,1.5428409576416,3,0.654989004135132
2,110,6,1,2,0.8,2,6,4,2,NaN,0,2,0.285244941711426
2,22,96,1,4,0.8,4,96,3,2,4,2.17533993721008,2,0.77505087852478
1,106,,3,,0.8,3,106,3,2,5,2.95333099365234,2,1.10914421081543
2,4,352,1,3,0.8,3,352,1,2,5,2.77529716491699,3,0.991386890411377
1,10,,2,,0.5,2,10,4,2,4,2.08129501342773,3,0.541656017303467
1,10,,4,,0.8,1,NaN,5,2,5,1.85550022125244,2,0.695818185806274
1,112,,3,,0.8,3,112,3,2,3,2.68203687667847,2,1.14185404777527
2,12,74,1,2,0.8,1,12,4,2,5,2.87222480773926,1,1.48790001869202
2,94,112,1,4,0.5,2,NaN,5,2,5,1.28232908248901,2,1.35851311683655
1,340,,4,,0.8,2,NaN,5,2,5,1.42432689666748,2,0.456576108932495
2,352,68,2,3,0.8,4,NaN,5,2,5,1.67446112632751,1,1.59052300453186
2,354,94,3,4,0.5,3,354,1,2,1,2.61689209938049,2,0.576647043228149
2,108,76,3,4,0.8,1,NaN,5,2,5,2.05091285705566,1,0.43123197555542
1,100,,4,,0.8,1,NaN,5,2,5,2.78493285179138,1,0.840991020202637
1,350,,2,,0.5,2,350,1,2,5,2.77924108505249,2,1.0471498966217
1,68,,3,,0.8,4,NaN,5,2,3,2.63312005996704,1,0.801133155822754
1,108,,3,,0.5,4,NaN,5,2,5,1.57131314277649,3,0.735452175140381
2,80,70,2,3,0.8,1,NaN,5,2,5,1.48970794677734,2,0.409511089324951
2,348,94,1,2,0.5,2,94,3,2,3,2.44365310668945,2,0.503995895385742
1,20,,2,,0.5,3,NaN,5,2,3,0.938259124755859,3,0.698116064071655
1,340,,3,,0.5,2,NaN,5,2,5,1.53967618942261,2,0.479830026626587
1,342,,2,,0.8,2,342,1,2,4,2.54596590995789,2,0.65007495880127
2,344,18,1,3,0.5,3,18,4,2,4,2.65192198753357,3,0.968197107315063
2,94,342,2,4,0.5,4,342,1,2,1,1.93055009841919,1,0.402278900146484
1,338,,3,,0.8,2,NaN,5,2,5,1.44456911087036,2,0.576651811599731
1,82,,4,,0.5,4,82,2,2,2,2.67480897903442,3,1.51456594467163
2,22,112,1,4,0.5,3,NaN,5,2,5,1.82086300849915,1,0.376821041107178
2,20,352,2,4,0.8,2,20,4,2,NaN,0,3,1.29907894134521
1,108,,3,,0.5,3,108,3,2,3,2.52139782905579,2,0.721142053604126
2,82,18,1,4,0.8,3,NaN,5,2,5,1.57141184806824,2,0.363265037536621
2,80,102,1,3,0.8,4,NaN,5,2,5,0,2,0.95356011390686
1,96,,3,,0.5,2,NaN,5,2,5,1.4036021232605,3,0.355536937713623
2,344,98,1,2,0.5,4,NaN,5,2,5,1.35368204116821,2,1.7939600944519
2,68,106,1,2,0.5,2,106,3,2,5,2.80384492874146,2,1.34011697769165
2,12,350,1,4,0.8,1,12,4,2,2,2.17822098731995,1,1.70624399185181
2,344,20,2,4,0.8,3,NaN,5,2,5,1.37213182449341,3,0.468631982803345
1,96,,1,,0.5,1,96,3,2,2,2.5388081073761,3,0.722635984420776
2,76,76,1,4,0.8,2,NaN,5,2,5,1.60487818717957,3,0.476606845855713
2,14,94,1,2,0.8,1,14,4,2,5,2.70687198638916,2,1.00307202339172
1,344,,3,,0.8,3,344,1,2,1,1.64476203918457,3,0.404868125915527
2,18,350,2,4,0.5,2,18,4,2,4,1.93102383613586,3,1.187420129776
2,338,82,1,3,0.5,2,NaN,5,2,5,1.89332008361816,2,0.525140047073364
2,16,8,1,2,0.8,4,NaN,5,2,5,0,2,0.923834085464478
2,94,70,2,4,0.5,3,NaN,5,2,5,1.0493528842926,3,0.533334016799927
1,354,,3,,0.5,1,NaN,5,2,5,1.29505705833435,3,0.454831838607788
1,348,,2,,0.5,4,NaN,5,2,5,1.45305204391479,3,0.421243906021118
1,352,,4,,0.8,4,352,1,2,4,2.16700482368469,2,0.46735405921936
2,108,18,2,4,0.5,2,108,3,2,1,2.69343519210815,1,0.749745845794678
1,350,,1,,0.5,1,350,1,2,1,2.5274920463562,2,1.22349619865417
1,18,,1,,0.5,4,NaN,5,2,5,1.75778794288635,2,0.741997957229614
